gene.name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3	
ENSG00000215914.4	3	0	0	0	1	0
ENSG00000008128.22	52	55	57	77	61	52
ENSG00000268575.1	71	41	61	72	80	43
ENSG00000227775.3	4	3	1	0	2	5
ENSG00000215790.7	419	370	402	447	443	353
ENSG00000008130.15	2878	2719	2896	3108	3080	2662
ENSG00000078369.17	17617	17920	19309	19500	18475	16504
ENSG00000231050.1	10	5	2	12	6	1
ENSG00000169885.9	32	21	23	30	49	28
ENSG00000178821.12	14	14	23	13	22	11
ENSG00000142609.18	4	12	4	6	9	7
ENSG00000233542.1	0	0	0	0	0	0
ENSG00000187730.8	20	11	12	18	25	23
ENSG00000226969.1	3	0	2	2	2	0
ENSG00000067606.16	836	695	789	837	795	708
ENSG00000271806.1	1	5	2	1	7	2
ENSG00000182873.5	48	37	40	28	32	38
ENSG00000162585.16	1059	977	1049	1160	1228	986
ENSG00000234396.3	2	1	1	3	2	3
ENSG00000157933.9	2330	2329	2480	2571	2708	2272
ENSG00000116151.13	580	495	518	550	655	515
ENSG00000272161.1	1	2	1	2	0	4
ENSG00000269896.2	84	72	77	75	108	74
ENSG00000272420.1	12	4	14	17	27	6
ENSG00000157916.19	5378	5450	5845	5964	5836	5395
ENSG00000157911.10	1675	1575	1644	1666	1607	1494
ENSG00000149527.17	20	16	14	15	8	20
ENSG00000224387.1	0	0	0	0	0	0
ENSG00000229393.1	0	0	0	0	0	0
ENSG00000157881.13	491	502	559	550	486	453
ENSG00000197921.5	0	0	0	1	0	0
ENSG00000272449.2	0	0	0	0	0	0
ENSG00000238164.6	0	0	1	0	0	0
ENSG00000157873.17	5	6	2	1	2	4
ENSG00000225931.3	0	0	0	0	0	0
ENSG00000228037.1	0	0	0	0	0	0
ENSG00000157870.15	338	247	350	342	363	277
ENSG00000142606.15	0	1	0	0	3	0
ENSG00000237058.1	0	0	0	0	0	0
ENSG00000215912.12	0	0	3	1	1	2
ENSG00000285945.1	0	0	0	0	0	0
ENSG00000283259.1	0	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0
ENSG00000284745.1	0	0	0	0	0	0
ENSG00000169717.6	0	0	0	0	0	0
ENSG00000177133.10	0	1	2	0	4	0
ENSG00000142611.16	33	25	23	35	49	32
ENSG00000283572.1	0	0	0	0	0	0
ENSG00000226286.1	1	0	0	0	0	0
ENSG00000279839.1	0	0	0	0	2	0
ENSG00000272235.1	0	0	0	0	0	1
ENSG00000130762.14	321	272	311	374	307	331
ENSG00000272088.1	2	1	2	2	2	2
ENSG00000162591.15	1444	1902	1841	1890	1643	1969
ENSG00000207776.1	0	0	0	0	0	0
ENSG00000238260.1	12	10	9	18	20	4
ENSG00000158109.14	1630	1688	1829	1997	1549	1593
ENSG00000116213.15	1005	977	1148	1234	1162	966
ENSG00000078900.14	21	18	32	41	47	18
ENSG00000227589.1	0	0	0	0	0	0
ENSG00000235131.1	0	0	0	0	0	0
ENSG00000227372.12	1530	1264	1613	1706	1743	1486
ENSG00000276189.1	0	0	0	0	0	0
ENSG00000162592.9	0	1	0	0	0	1
ENSG00000235169.8	30	18	19	18	19	17
ENSG00000130764.9	3309	3196	3732	3802	3653	3417
ENSG00000266075.2	0	0	1	0	0	0
ENSG00000272153.1	4	0	1	1	3	4
ENSG00000116198.12	1688	1770	1879	1915	1664	1633
ENSG00000169598.15	306	324	418	411	406	328
ENSG00000198912.10	1611	1581	1843	1804	1676	1476
ENSG00000236423.5	34	29	28	36	32	27
ENSG00000233304.6	0	0	0	0	1	3
ENSG00000226374.2	0	0	0	0	1	0
